comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.013098704082837422
vanilla_vs_naive correctness fsl,-0.04774683159010066
vanilla_vs_simple tree,0.02279161008940835
vanilla_vs_complex tree,0.05526274115313057
vanilla_vs_vanilla_no_cot,-0.04871019875875939
vanilla_vs_summary,0.02109100888239596
vanilla_vs_simple verify fsl,0.025306399592666697
vanilla_vs_complex verify fsl,-0.005598371776213477
vanilla_vs_summary verify fsl,-0.06236401049517431
vanilla_vs_simple verify,-0.0717521176847416
vanilla_vs_complex verify,0.028474482930766206
vanilla_vs_summary verify,0.01999564746475791
