comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.231845725581611
vanilla_vs_naive correctness fsl,-0.22627933134236952
vanilla_vs_simple tree,-0.15676159816253307
vanilla_vs_complex tree,-0.14846591951652258
vanilla_vs_vanilla_no_cot,-0.14827947297036723
vanilla_vs_summary,-0.021596846488085082
vanilla_vs_simple verify fsl,-0.16419735787110035
vanilla_vs_complex verify fsl,-0.1573043441770975
vanilla_vs_summary verify fsl,-0.09484824013158422
vanilla_vs_simple verify,-0.14116027804809625
vanilla_vs_complex verify,-0.15040222822065355
vanilla_vs_summary verify,-0.2322292967515639
