comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.23896882309928724
vanilla_vs_naive correctness fsl,-0.25402919594074863
vanilla_vs_simple tree,-0.183799444924082
vanilla_vs_complex tree,-0.021914372607548593
vanilla_vs_vanilla_no_cot,-0.20562341478261614
vanilla_vs_summary,-0.13874079338927983
vanilla_vs_simple verify fsl,-0.12717084994251687
vanilla_vs_complex verify fsl,-0.07406504028604366
vanilla_vs_summary verify fsl,-0.2140981752403488
vanilla_vs_simple verify,0.04115623365190063
vanilla_vs_complex verify,0.020940738970178077
vanilla_vs_summary verify,0.04686597774208212
