comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.03779158248556621
vanilla_vs_naive correctness fsl,-0.11553235619569269
vanilla_vs_simple tree,-0.03489222467951289
vanilla_vs_complex tree,-0.007264158182936604
vanilla_vs_vanilla_no_cot,-0.02159039019613529
vanilla_vs_summary,-0.041489531150568124
vanilla_vs_simple verify fsl,-0.07214478235743936
vanilla_vs_complex verify fsl,-0.10628696625805732
vanilla_vs_summary verify fsl,-0.06398896304962452
vanilla_vs_simple verify,-0.03435574373364015
vanilla_vs_complex verify,-0.010409938144180383
vanilla_vs_summary verify,-0.04494962710056423
