comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.03163267380230366
vanilla_vs_naive correctness fsl,-0.03163267380230367
vanilla_vs_simple tree,-0.03416127760281313
vanilla_vs_complex tree,-0.054307555369642116
vanilla_vs_vanilla_no_cot,-0.021873389134259923
vanilla_vs_summary,-0.048979740680499095
vanilla_vs_simple verify fsl,-0.1546746187499277
vanilla_vs_complex verify fsl,0.04111266679201474
vanilla_vs_summary verify fsl,0.03876788250414806
vanilla_vs_simple verify,0.016620071156017845
vanilla_vs_complex verify,0.03286063753351036
vanilla_vs_summary verify,0.13355863704592022
