comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.1500865469453986
vanilla_vs_naive correctness fsl,-0.17111256178676618
vanilla_vs_simple tree,-0.13418565311674777
vanilla_vs_complex tree,-0.11807261156869438
vanilla_vs_vanilla_no_cot,-0.16855627534647766
vanilla_vs_summary,-0.18621907238876814
vanilla_vs_simple verify fsl,-0.08797339540619073
vanilla_vs_complex verify fsl,-0.09108808302662517
vanilla_vs_summary verify fsl,-0.09893862405983302
vanilla_vs_simple verify,-0.11380488854282193
vanilla_vs_complex verify,-0.12265356422721985
vanilla_vs_summary verify,-0.22640809752874086
