comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.07138958430087791
vanilla_vs_naive correctness fsl,-0.09846534389224679
vanilla_vs_simple tree,-0.053994319574247454
vanilla_vs_complex tree,-0.09227722249948389
vanilla_vs_vanilla_no_cot,0.0008205636037130309
vanilla_vs_summary,-0.12882500165924732
vanilla_vs_simple verify fsl,-0.11952058104962517
vanilla_vs_complex verify fsl,-0.10026988556354062
vanilla_vs_summary verify fsl,-0.12757251136906517
vanilla_vs_simple verify,0.04570962006604799
vanilla_vs_complex verify,-0.04074830831031645
vanilla_vs_summary verify,-0.022925550295576577
