comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.022993879610313347
vanilla_vs_naive correctness fsl,0.05221929226777777
vanilla_vs_simple tree,0.09297913349258326
vanilla_vs_complex tree,-0.014956361326501137
vanilla_vs_vanilla_no_cot,0.07254015527847983
vanilla_vs_summary,-0.05371558797679943
vanilla_vs_simple verify fsl,0.02838957282967265
vanilla_vs_complex verify fsl,0.07368168259795894
vanilla_vs_summary verify fsl,0.05927691089345
vanilla_vs_simple verify,0.1408320818687394
vanilla_vs_complex verify,0.2033641131525555
vanilla_vs_summary verify,0.14207987937212954
