comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.08240747421488756
vanilla_vs_naive correctness fsl,-0.10209775617986246
vanilla_vs_simple tree,0.08482912989593996
vanilla_vs_complex tree,-0.06199000440388605
vanilla_vs_vanilla_no_cot,-0.1201099891859281
vanilla_vs_summary,-0.0009623956208194814
vanilla_vs_simple verify fsl,-0.047183118392206506
vanilla_vs_complex verify fsl,-0.07463236036815522
vanilla_vs_summary verify fsl,-0.041098693562901564
vanilla_vs_simple verify,-0.012288108268627319
vanilla_vs_complex verify,0.07900050402209416
vanilla_vs_summary verify,0.022211501972204725
