comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.11159301415747877
vanilla_vs_naive correctness fsl,-0.006039064569203022
vanilla_vs_simple tree,-0.01790384518529079
vanilla_vs_complex tree,-0.03031485529515235
vanilla_vs_vanilla_no_cot,-0.019098510214989057
vanilla_vs_summary,-0.014108702036395792
vanilla_vs_simple verify fsl,-0.025854773597091048
vanilla_vs_complex verify fsl,-0.08780829045890971
vanilla_vs_summary verify fsl,0.08602679355438421
vanilla_vs_simple verify,-0.04233038679173386
vanilla_vs_complex verify,-0.05509533867797415
vanilla_vs_summary verify,-0.012512478205845265
