comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.0225188384613897
vanilla_vs_naive correctness fsl,0.011474866862996497
vanilla_vs_simple tree,-0.0024690963426008392
vanilla_vs_complex tree,0.007070082855083765
vanilla_vs_vanilla_no_cot,0.011474866862996497
vanilla_vs_summary,0.006724200680343096
vanilla_vs_simple verify fsl,0.011474866862996497
vanilla_vs_complex verify fsl,0.011474866862996497
vanilla_vs_summary verify fsl,0.011474866862996497
vanilla_vs_simple verify,0.011474866862996497
vanilla_vs_complex verify,-0.008512122880331846
vanilla_vs_summary verify,-0.012696515579317521
