comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.135371798200746
vanilla_vs_naive correctness fsl,-0.14843213081771972
vanilla_vs_simple tree,-0.13410293493834494
vanilla_vs_complex tree,-0.13455804474354352
vanilla_vs_vanilla_no_cot,-0.02800877272452205
vanilla_vs_summary,-0.1168691746812216
vanilla_vs_simple verify fsl,-0.20131665835768242
vanilla_vs_complex verify fsl,-0.09828681556504698
vanilla_vs_summary verify fsl,-0.09812281876752367
vanilla_vs_simple verify,-0.026646208295109303
vanilla_vs_complex verify,-0.015416860321995077
vanilla_vs_summary verify,-0.007681885725697068
