comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.16810932641853638
vanilla_vs_naive correctness fsl,-0.19019692670390823
vanilla_vs_simple tree,-0.14830650757560568
vanilla_vs_complex tree,-0.14437342141306586
vanilla_vs_vanilla_no_cot,-0.10365156369708686
vanilla_vs_summary,-0.12107282738650844
vanilla_vs_simple verify fsl,-0.0539524707071207
vanilla_vs_complex verify fsl,-0.27283089592397886
vanilla_vs_summary verify fsl,-0.08896417653376364
vanilla_vs_simple verify,-0.17308720183090204
vanilla_vs_complex verify,-0.12521246008312573
vanilla_vs_summary verify,-0.09818968719501289
