comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.11997872825653245
vanilla_vs_naive correctness fsl,-0.10771114977642082
vanilla_vs_simple tree,-0.004384986982075912
vanilla_vs_complex tree,-0.02523104774959365
vanilla_vs_vanilla_no_cot,-0.17920893707448451
vanilla_vs_summary,-0.0426489068971288
vanilla_vs_simple verify fsl,-0.033906167021654485
vanilla_vs_complex verify fsl,-0.10970094216871193
vanilla_vs_summary verify fsl,-0.012947667223945268
vanilla_vs_simple verify,-0.006247815228624699
vanilla_vs_complex verify,-0.023230697943322103
vanilla_vs_summary verify,0.04394019539967997
