comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.13328571088815916
vanilla_vs_naive correctness fsl,-0.14595151252542687
vanilla_vs_simple tree,0.04319232489063605
vanilla_vs_complex tree,0.06530919427249407
vanilla_vs_vanilla_no_cot,-0.08313593693694254
vanilla_vs_summary,0.002540257975808071
vanilla_vs_simple verify fsl,-0.05092733031898143
vanilla_vs_complex verify fsl,-0.05259253370151349
vanilla_vs_summary verify fsl,-0.0041023071245822815
vanilla_vs_simple verify,0.008751128220345909
vanilla_vs_complex verify,0.02796661939134747
vanilla_vs_summary verify,-0.07145146875858462
