comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.03322608925758822
vanilla_vs_naive correctness fsl,-0.06909123838999164
vanilla_vs_simple tree,0.05773347162643886
vanilla_vs_complex tree,0.10964615858007401
vanilla_vs_vanilla_no_cot,-0.09016333129540881
vanilla_vs_summary,0.005643827286854714
vanilla_vs_simple verify fsl,0.05610149863049176
vanilla_vs_complex verify fsl,0.036750380714706016
vanilla_vs_summary verify fsl,0.019646409988872262
vanilla_vs_simple verify,0.07338845008804404
vanilla_vs_complex verify,-0.06994559639944169
vanilla_vs_summary verify,0.07867178062764589
