comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.15778810573360325
vanilla_vs_naive correctness fsl,-0.10397867604584086
vanilla_vs_simple tree,0.06099837199195531
vanilla_vs_complex tree,0.043123189612570056
vanilla_vs_vanilla_no_cot,-0.13764843787906772
vanilla_vs_summary,-0.0034220187837745576
vanilla_vs_simple verify fsl,-0.03613703475123439
vanilla_vs_complex verify fsl,-0.12262502816320965
vanilla_vs_summary verify fsl,-0.1262177323392121
vanilla_vs_simple verify,-0.13020286154460403
vanilla_vs_complex verify,-0.21133420111068155
vanilla_vs_summary verify,-0.14320466138672075
