comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.13360490099038527
vanilla_vs_naive correctness fsl,-0.1305107473246313
vanilla_vs_simple tree,-0.0489750865364787
vanilla_vs_complex tree,-0.09674451356863317
vanilla_vs_vanilla_no_cot,-0.1412938951081334
vanilla_vs_summary,0.00804204876936923
vanilla_vs_simple verify fsl,-0.0948359684540192
vanilla_vs_complex verify fsl,-0.1199895415621907
vanilla_vs_summary verify fsl,-0.017498067631818406
vanilla_vs_simple verify,-0.014769543615525389
vanilla_vs_complex verify,-0.054973740677508334
vanilla_vs_summary verify,-0.13095781808999418
