comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.12480428711706236
vanilla_vs_naive correctness fsl,-0.07671144968554157
vanilla_vs_simple tree,0.035996352576858986
vanilla_vs_complex tree,0.08726477549178539
vanilla_vs_vanilla_no_cot,-0.06491891191681691
vanilla_vs_summary,0.05201580667943861
vanilla_vs_simple verify fsl,-0.11386398803113601
vanilla_vs_complex verify fsl,-0.08415959435634962
vanilla_vs_summary verify fsl,-0.15124413584698634
vanilla_vs_simple verify,0.02002432698340753
vanilla_vs_complex verify,-0.0820247048237745
vanilla_vs_summary verify,0.15292177979530333
