comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.07312835463330383
vanilla_vs_naive correctness fsl,-0.1106550775885629
vanilla_vs_simple tree,0.06525067379942663
vanilla_vs_complex tree,-0.1493390349215115
vanilla_vs_vanilla_no_cot,-0.1859082589709956
vanilla_vs_summary,-0.13134175099904166
vanilla_vs_simple verify fsl,-0.05992460526960889
vanilla_vs_complex verify fsl,-0.04062764478012469
vanilla_vs_summary verify fsl,-0.07548908114991552
vanilla_vs_simple verify,-0.23949732725146888
vanilla_vs_complex verify,-0.008456868198701029
vanilla_vs_summary verify,-0.053810773357576766
