comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.022982386164376256
vanilla_vs_naive correctness fsl,-0.21353053925535503
vanilla_vs_simple tree,0.05090400201574457
vanilla_vs_complex tree,0.08337532658013129
vanilla_vs_vanilla_no_cot,-0.1059203512164363
vanilla_vs_summary,0.1490134058252399
vanilla_vs_simple verify fsl,-0.15122750595669568
vanilla_vs_complex verify fsl,-0.2477052714472675
vanilla_vs_summary verify fsl,0.031276637707197824
vanilla_vs_simple verify,0.04192154656611597
vanilla_vs_complex verify,0.05083073497964756
vanilla_vs_summary verify,-0.2151233609877597
