comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.034433704364133816
vanilla_vs_naive correctness fsl,-0.024404816551543227
vanilla_vs_simple tree,0.011945503353719833
vanilla_vs_complex tree,0.0679481446100534
vanilla_vs_vanilla_no_cot,-0.0004568271696120538
vanilla_vs_summary,-0.0672438238265459
vanilla_vs_simple verify fsl,-0.05873642000414385
vanilla_vs_complex verify fsl,-0.06693840575404057
vanilla_vs_summary verify fsl,-0.06931191421816368
vanilla_vs_simple verify,0.03949290258649734
vanilla_vs_complex verify,-0.04497256655231981
vanilla_vs_summary verify,0.15352137856194784
