comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.011301546847478432
vanilla_vs_naive correctness fsl,-0.03605940401472983
vanilla_vs_simple tree,-0.22830375396043126
vanilla_vs_complex tree,0.004294601060383311
vanilla_vs_vanilla_no_cot,0.08807956802503947
vanilla_vs_summary,0.07539918545890349
vanilla_vs_simple verify fsl,0.04067320053308779
vanilla_vs_complex verify fsl,0.06732113417529621
vanilla_vs_summary verify fsl,0.13194152737249765
vanilla_vs_simple verify,-0.10476796535094672
vanilla_vs_complex verify,0.043061660753767904
vanilla_vs_summary verify,-0.10648404606143468
