comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.017220580091952542
vanilla_vs_naive correctness fsl,-0.10354665604809625
vanilla_vs_simple tree,0.06275509929437346
vanilla_vs_complex tree,-0.09395867976883918
vanilla_vs_vanilla_no_cot,-0.09677393747629395
vanilla_vs_summary,0.2275036775592136
vanilla_vs_simple verify fsl,-0.07641726600718048
vanilla_vs_complex verify fsl,0.1023464706576308
vanilla_vs_summary verify fsl,-0.1344581897210075
vanilla_vs_simple verify,-0.09723350462144942
vanilla_vs_complex verify,0.04323727213539327
vanilla_vs_summary verify,-0.02039848268563324
