comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.10734779629777667
vanilla_vs_naive correctness fsl,-0.06642362031201261
vanilla_vs_simple tree,-0.029553418611522386
vanilla_vs_complex tree,-0.05779272608632487
vanilla_vs_vanilla_no_cot,-0.03691861112164662
vanilla_vs_summary,-0.07548324474046679
vanilla_vs_simple verify fsl,0.0009803438939639951
vanilla_vs_complex verify fsl,0.007285741251683675
vanilla_vs_summary verify fsl,-0.05057932205947736
vanilla_vs_simple verify,0.035594839023734774
vanilla_vs_complex verify,-0.015485940736351097
vanilla_vs_summary verify,0.004155585420931277
