comparison,correlation_with_consistency
vanilla_vs_summary fsl,-0.09186911081126775
vanilla_vs_naive correctness fsl,-0.10500545400242256
vanilla_vs_simple tree,0.15684750930874977
vanilla_vs_complex tree,0.12097798388803722
vanilla_vs_vanilla_no_cot,0.018733629215998075
vanilla_vs_summary,0.07792143678419847
vanilla_vs_simple verify fsl,-0.08524543044692368
vanilla_vs_complex verify fsl,-0.0025528480545939495
vanilla_vs_summary verify fsl,0.07484409908904262
vanilla_vs_simple verify,0.07030503828316867
vanilla_vs_complex verify,0.14543338215972573
vanilla_vs_summary verify,0.027797885273199006
