comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.025764392019072976
vanilla_vs_naive correctness fsl,0.07766360591859081
vanilla_vs_simple tree,-0.03562056434617151
vanilla_vs_complex tree,-0.0058659993471653965
vanilla_vs_vanilla_no_cot,-0.004952049919872233
vanilla_vs_summary,-0.0018398472291551182
vanilla_vs_simple verify fsl,0.048719873595794855
vanilla_vs_complex verify fsl,0.02643584941077555
vanilla_vs_summary verify fsl,0.031216408933074365
vanilla_vs_simple verify,-0.06491307830418026
vanilla_vs_complex verify,-0.007088224319123098
vanilla_vs_summary verify,-0.05459657017761572
