comparison,correlation_with_consistency
vanilla_vs_summary fsl,0.009955586074345392
vanilla_vs_naive correctness fsl,0.03581197950477626
vanilla_vs_simple tree,0.009992740040210266
vanilla_vs_complex tree,0.0015560358813089094
vanilla_vs_vanilla_no_cot,-0.06592326699990478
vanilla_vs_summary,0.05263157369943597
vanilla_vs_simple verify fsl,0.03581197950477626
vanilla_vs_complex verify fsl,0.03581197950477626
vanilla_vs_summary verify fsl,0.03581197950477626
vanilla_vs_simple verify,0.03581197950477626
vanilla_vs_complex verify,-0.03904960093494564
vanilla_vs_summary verify,-0.03125365302264922
